date,title,speaker,audio,youtube,transcript,html
2026-06-07,A Story Truer Than the One We've Been Told,,2026-06-07.mp3,5MyY_pDDCQc,,
2026-05-31,Let Your Good Heart Stay Open,,2026-05-31.mp3,f9MEL24OSfc,,
2026-05-24,We Were Built For This,Rev. Sámhna Scott,2026-05-24.mp3,hurbSjpXY-I,,
2026-04-26,By the Light of the Moon,Rev. Megan Lynes,2026-04-26.mp3,U6hV43L9BRc,,
2026-04-19,It's Not Too Late,,2026-04-19.mp3,R0KYTMAd-G8,,
2026-04-12,What You Bring to This World,,2026-04-12.mp3,mpHWxOt42ig,,
2026-04-05,Hope Rises (Easter),,2026-04-05.mp3,hpW4FAyAp6E,,
2026-03-29,Let's Begin Now,,2026-03-29.mp3,BWkHLUABSY0,,
2026-03-22,Rising to What is Life-Giving,,2026-03-22.mp3,d2nq6uHIZLw,,
2026-03-15,CityReach Experience,"Cindy Koegler, Director of Youth Ministry, with CityReach youth and parents",2026-03-15.mp3,wVNEvKhB75Y,,
2026-03-08,"Small, Ordinary Mercies",,2026-03-08.mp3,cpzk5_8l1oI,,
2026-02-22,Where Nobody Is Too Much and Nobody Is Alone,Rev. Megan Lynes,2026-02-22.mp3,irkxVdefq2c,,
2026-02-08,Climb Aboard,Assistant Minister Sámhna Scott,2026-02-08.mp3,lkAwUJEpkaM,,
2026-02-01,What Does it Mean to be Brave,Rev. Elea Kemler and Assistant Minister Sámhna Scott,2026-02-01.mp3,iTM_pmdfLXk,,
2026-01-11,The Social Change Ecosystem,Assistant Minister Sámhna Erin Scott,2026-01-11.mp3,7YNTrG31CPc,,
2026-01-04,The Yeast Is Critical,,2026-01-04.mp3,x82q7Ud7ZPg,,
2025-12-24,"The Hope That Keeps Holding Us To This Broken, Blessed Earth (Christmas Eve)",,2025-12-24.mp3,cQyJ6V534fg,,
2025-12-14,By A Love That Burns Relentlessly,,2025-12-14.mp3,6SnfKmGFIL8,,
2025-12-07,Even the Smallest Hope Knows Itself By Its Melody,,2025-12-07.mp3,XWayc7tvE60,,
2025-11-30,Words for First Parish Young Adults,"Haley Watson, Avery Luening, and Rev. Elea Kemler (reading for Nate Clark)",2025-11-30.mp3,EkBMa-Ylk0Y,,
2025-11-16,"Old Words, New Meanings",Student Minister Sámhna Erin Scott,2025-11-16.mp3,Yb0_J8zNt2Q,,
2025-11-09,The Revolution That Begins Inside the Human Heart,,2025-11-09.mp3,nBiNzsAS8c4,,
2025-10-26,Not Done with My Changes,Rev. Megan Lynes,2025-10-26.mp3,apxwSpadElA,,
2025-10-19,Justice When It's Personal,Student Minister Sámhna Erin Scott,2025-10-19.mp3,q09VPa_YX00,,
2025-09-21,"In this Autumn Light, There is a Path for Beginning Again",,2025-09-21.mp3,up0SfF3WDQ0,,
2025-09-14,Shifting the Story,,2025-09-14.mp3,6xQ6YeyU7Eg,,
2025-06-01,How Did We Come This Far? (25th anniversary as our minister),,2025-06-01.mp3,eo8knnYaulM,,
2025-05-25,Confronting Marvelous Truth,Rev. Megan Lynes,2025-05-25.mp3,_vuHXVqv7DE,,
2025-05-11,On This Fresh Morning in the Broken World,,2025-05-11.mp3,aygjM1loY2I,,
