date,title,url,note
2019-12-24,A Pinhole of Light,https://legacy.uugroton.org/Sermons/apinholeoflight.html,
2019-10-13,On Behalf of Life,https://legacy.uugroton.org/Sermons/onbehalfoflife.html,
2019-09-22,The Thread That Runs Between Us,https://legacy.uugroton.org/Sermons/thethreadthatrunsbetweenus.html,
2019-09-15,The No Becoming Yes,https://legacy.uugroton.org/Sermons/thenobecomingyes.html,
2019-04-14,Radical Hospitality: Living At the Edge of Our Imaginations,https://legacy.uugroton.org/Sermons/livingattheedgeofourimaginations.html,
2019-03-24,Radical Hospitality: Notes for Living on Earth,https://legacy.uugroton.org/Sermons/radicalhospitality.html,
2019-03-03,Loved into Being,https://legacy.uugroton.org/Sermons/lovedintobeing.html,
2019-02-24,The Fibrillating Heart of the World,https://legacy.uugroton.org/Sermons/thefibrillatingheartoftheworld.html,
2018-12-24,"The Beautiful, Aching Work of Repair",https://legacy.uugroton.org/Sermons/thebeautifulachingworkofrepair.html,
2018-12-02,Blessing the Way,https://legacy.uugroton.org/Sermons/blessingtheway.html,
2018-11-04,Love Makes Us Brave,https://legacy.uugroton.org/Sermons/lovemakesusbrave.html,
2018-01-28,The Ground of Our Hope,https://legacy.uugroton.org/Sermons/thegroundofourhope.html,
2017-12-03,Keep Turning Your Face Toward This Earth,https://legacy.uugroton.org/Sermons/keepturningyourfacetowardthisearth.html,
2017-11-05,The Difficult Angel Who Has Chosen You,https://legacy.uugroton.org/Sermons/thedifficultangelwhohaschosenyou.html,
2017-10-08,This Tender Thread,https://legacy.uugroton.org/Sermons/thistenderthread.html,
2017-10-01,Still Becoming Able,https://legacy.uugroton.org/Sermons/stillbecomingable.html,
2017-09-17,A Tender Teaching,https://legacy.uugroton.org/Sermons/atenderteaching.html,
2016-12-24,Something New Is Trying to Get Itself Born,https://legacy.uugroton.org/Sermons/somethingnewistryingtogetItselfborn.html,
2016-09-18,More Beautiful for Having Been Broken,https://legacy.uugroton.org/Sermons/morebeautifulforhavingbeenbroken.html,
2015-12-24,Lift Your Face Toward the Light,https://legacy.uugroton.org/Sermons/liftyourfacetowardthelight.html,
2015-09-20,Hearing the Call to Renewal,https://legacy.uugroton.org/Sermons/hearingthecalltorenewal.html,
2014-12-07,"So Bold, So Brave, So Loving",https://legacy.uugroton.org/Sermons/sobravesoboldsoloving.html,
2014-11-23,The Blessing of a Quiet Heart,https://legacy.uugroton.org/Sermons/blessingsofaquietheart.html,
2014-01-26,The Gratitude Project,https://legacy.uugroton.org/Sermons/thegratitudeproject.html,
2013-12-01,"A Plan for Existence, a Plan for the Sublime",https://legacy.uugroton.org/Sermons/plan-existence-sublime-joel-wool.html,Joel Wool)
2013-04-21,What Thrives in Rubble and Ash,https://legacy.uugroton.org/Sermons/whatthrivesinrubbleandash.html,
2012-06-17,Father’s Day Reflections,https://uugroton.github.io/sermons/2012-06-17-tim.pdf,Tim Svarczkopf)
2012-04-29,The God Who Knows Only Four Words: Come Dance with Me,https://legacy.uugroton.org/Sermons/thegodwhoknowsonlyfourwords.html,
2012-03-04,The Open Doors of the Heart (Lent 2),https://legacy.uugroton.org/Sermons/theopendoorsoftheheart.html,
2011-12-24,Life is So Generous: Christmas Eve Message 2011,https://legacy.uugroton.org/Sermons/lifeissogenerous.html,
2011-12-04,Say the Thing You Most Need and the Door will Open Wide (Advent Two),https://legacy.uugroton.org/Sermons/saythethingyoumostneed.html,
2011-09-25,Reflections for Rosh Hashanah: Sweet and Thankful For Any Small Gesture,https://legacy.uugroton.org/Sermons/sweetandthankful.html,
2011-09-18,Strong and Strong Again: Steeple Navigation Part Two,https://legacy.uugroton.org/Sermons/strongandstrongagain.html,
2011-05-22,The Answer to Every Question,https://legacy.uugroton.org/Sermons/theanswertoeveryquestion.html,
2010-02-28,"Go to the Place Called Barren, Stand in the Place Called Empty",https://legacy.uugroton.org/Sermons/gototheplacecalledbarren.html,
2010-02-21,Dancing with Shadows and Light,https://legacy.uugroton.org/Sermons/dancingwithshadowsandlight.html,
2010-02-07,Waiting to See Us Once Beautiful and Brave,https://legacy.uugroton.org/Sermons/waitingtoseeusoncebeautifulandbrave.html,
2009-12-13,"While Waiting For Hope, Be Hope",https://legacy.uugroton.org/Sermons/whilewaitingforhopebehope.html,
2009-09-27,Go Lightly Toward Light: A Sermon for Yom Kippur,https://legacy.uugroton.org/Sermons/golightlytowardlight.html,
2009-09-20,Dawn By Dawn: Seeing Our Way Clear,https://legacy.uugroton.org/Sermons/dawnbydawn.html,
2009-04-26,Glad To the Brink of Fear,https://legacy.uugroton.org/Sermons/phillips-gladtothebrinkoffear.html,Rev. Sue Phillips)
2009-03-29,"Quiet in Heart and in Eye, Clear",https://legacy.uugroton.org/Sermons/quietinheart.html,
2009-02-22,"What Time, Grace, and Circumstances Will Make Us",https://legacy.uugroton.org/Sermons/whattimegraceandcircumstances.html,
2008-11-16,Reflections on Member Expectations: Caring For Each Other,https://legacy.uugroton.org/Sermons/caringforeachother.html,
2008-06-01,The World Shining: A Post-Sabbatical Sermon,https://legacy.uugroton.org/Sermons/theworldshining.html,
2008-05-11,And It Was Good,https://legacy.uugroton.org/Sermons/phillips-anditwasgood.html,Rev. Sue Phillips)
2008-02-03,Good Fences Make Good Neighbors?,https://legacy.uugroton.org/Sermons/phillips-mendingwall.html,Rev. Sue Phillips)
2008-01-06,Stepping Out of the Current,https://legacy.uugroton.org/Sermons/steppingoutofthecurrent.html,
2007-12-16,You Have Come Into the World To Do This,https://legacy.uugroton.org/Sermons/youhavecomeintotheworld.html,
2007-12-02,Living With Less,https://legacy.uugroton.org/Sermons/hughes-livingwithless.html,The Path To Sustainability (Patrick Hughes)
2007-09-23,Out of the Narrow and Choked Place,https://legacy.uugroton.org/Sermons/yomkippur07.html,The Power and Promise of Yom Kippur
2006-11-26,Indigo Reflections,https://legacy.uugroton.org/Sermons/indigoreflections.html,for a service of Blues Music)
2006-11-18,Misunderstanding and Meaning,https://legacy.uugroton.org/Sermons/reconferencesermon.html,"a worship service for the Excellence In RE Conference, Clara Barton District of the UUA)"
2006-10-01,Unpacking Your Heart,https://legacy.uugroton.org/Sermons/unpackingyourheart.html,
2006-09-17,Living In Shaky Houses,https://legacy.uugroton.org/Sermons/livinginshakyhouses.html,
2005-05-01,Beginning From Below,https://legacy.uugroton.org/Sermons/beginningfrombelow.html,
2005-03-06,Only A Visitor,https://legacy.uugroton.org/Sermons/onlyavisitor.html,
